"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.848870667E0,-4.758282542E0,6.948831081E-2,1.564633048E-1,4.761361375E0
2.858917667E0,-4.822672958E0,-5.973515511E-3,1.819805539E-1,4.826108895E0
2.868963667E0,-4.926607216E0,-1.272599709E-1,1.235329556E-1,4.929798591E0
2.879009667E0,-5.003386420E0,-2.185221434E-1,1.500523810E-1,5.010403508E0
2.889056667E0,-4.991229474E0,-1.568620849E-1,2.401532964E-1,4.999465069E0
2.899102667E0,-4.850148147E0,-5.285999894E-2,4.999567823E-1,4.876134536E0
2.909148667E0,-4.433499241E0,6.520347118E-2,9.916597080E-1,4.543518019E0
2.919195667E0,-4.240429735E0,1.933083647E-1,1.254517779E0,4.426333394E0
2.929241667E0,-4.147019588E0,3.646253514E-1,1.406588656E0,4.394225160E0
2.939287667E0,-3.703722873E0,2.905019528E-1,1.592621330E0,4.042078328E0
2.949334667E0,-3.288062439E0,1.325850302E-1,1.626470861E0,3.670741186E0
2.959380667E0,-3.071720138E0,8.502143919E-2,1.338095541E0,3.351595579E0
2.969426667E0,-2.975768791E0,5.958780527E-2,9.166000970E-1,3.114306719E0
2.979473667E0,-3.093012481E0,-9.338938951E-2,2.601788771E-1,3.105340695E0
2.989519667E0,-3.050833591E0,-9.101892829E-2,-5.031481926E-1,3.093384578E0
2.999565667E0,-2.703779415E0,2.024493170E-1,-1.081761720E0,2.919180924E0
3.009612667E0,-2.169658338E0,3.825570077E-1,-1.194254036E0,2.505994787E0
3.019658667E0,-1.435091785E0,5.170002830E-1,-1.003459316E0,1.825844551E0
3.029705667E0,-6.289569942E-1,5.288175058E-1,-6.939661185E-1,1.075557450E0
3.039751667E0,-2.120412357E-2,4.168871802E-1,-3.594119740E-1,5.508370929E-1
